CNTRYID,SEQID,booklet_id,item_id,event_name,event_type,timestamp,event_description
ZA6712_US.data,121,L11,6,stimulus,cba_event,169087,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I4"" isSelected=""true""/> "
ZA6712_US.data,121,L11,6,stimulus,cba_event,171307,"<cbaloggingmodel:ImageMapLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""IM1"" imageAreaId=""I3"" isSelected=""true""/> "
ZA6712_US.data,121,L11,6,taoPIAAC,NEXT_INQUIRY,177500,REQUEST
ZA6712_US.data,121,L11,6,taoPIAAC,NEXT_BUTTON,177500,id=nextInquiry_button
ZA6712_US.data,121,L11,6,taoPIAAC,BUTTON,177502,id=nextInquiry_button
ZA6712_US.data,121,L11,6,taoPIAAC,DOACTION,177502,action=tao_item.nextInquiry
ZA6712_US.data,121,L11,6,stimulus,itemScoreResult,177574,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""true"" nbHits=""1"" hitWeight=""1"" nbMisses=""0"" missWeight=""0"" nbInteractions=""2"">   <hitList name=""C308A120H1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I4, I3]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
ZA6712_US.data,121,L11,6,stimulus,ItemScore,177575,"<cbascoringresultmm:ItemScore xmi:version=""2.0"" xmlns:xmi=""http://www.omg.org/XMI"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:cbascoringresultmm=""http://cbascoringresultmm/1.0"" xmlns:snapshot=""http://snapshot.softcon.de"" name=""C308A120"" result=""true"" nbHits=""1"" hitWeight=""1"" nbMisses=""0"" missWeight=""0"" nbInteractions=""2"">   <hitList name=""C308A120H1"" weight=""1""/>   <snapshotOverview version=""cbaComponentStateStorage__4614063222996965"">     <componentStateList xsi:type=""snapshot:CBAClipboardState"" id=""cbaClipboard__4614063377208041"" clipboardText=""""/>     <componentStateList xsi:type=""snapshot:CBAPageManagerState"" id=""cbaPageManager__4614063142694457"" firstPage=""cbaPage_0_4614063435142638""/>     <componentStateList xsi:type=""snapshot:CBAImageMapState"" id=""cbaImageMap_9_4614063635157865"" selectedImageAreas=""[I4, I3]"" selectable=""true"" multipleSelectMode=""true""/>   </snapshotOverview> </cbascoringresultmm:ItemScore> "
ZA6712_US.data,121,L11,6,stimulus,SnapshotRef,177575,http://localhost:8080/cba-runtime/item?custom_service_handler=downloadService&file=/usr/local/jboss-web-2.1.2.GA/temp/snapshot2675577645709575835.xml
ZA6712_US.data,121,L11,6,stimulus,gotoFrame,177575,C308A121
